,Question,Equation,Combined,Answer
34,"Jack received w emails in the morning, x emails in the afternoon and some more in the evening. If he received a total of y emails in the day How many emails did Jack receive in the afternoon?",( y - ( w + x ) ),"Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the day How many emails did Jack receive in the afternoon?",1
35,Dan has $ w. He bought a candy bar for $ x. Then his friend gave him $ y How much money is left?,( ( w - x ) + y ),Dan has $ 4. He bought a candy bar for $ 8. Then his friend gave him $ 5 How much money is left?,1
36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace on the previous day. If there were x visitors on that day How many visited the Buckingham palace within y days?",( x + w ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day How many visited the Buckingham palace within 25 days?",949
37,For Gwen's birthday she received w dollars from her dad. Her mom gave her x more dollars. If she spent y dollars. How much more money did she receive from her mom than she did from her dad?,( x - w ),For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad?,2
38,There are w bananas and x oranges in Philip's collection. If the bananas are organized into y groups and oranges are organized into z groups How big is each group of oranges?,( x / z ),There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups How big is each group of oranges?,2
39,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the movies and watched z of the books How many more movies than books have you read?,( y - z ),There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read?,3
40,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in?,( w - y ),Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in?,10
41,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,( x - w ),Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,4
42,Luke played w rounds of a trivia game. If he gained x points in each round How many points did he score in the game?,( w * x ),Luke played 177 rounds of a trivia game. If he gained 46 points in each round How many points did he score in the game?,8142
43,w birds and x storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,( ( w + y ) - x ),3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,1
44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The mouse jumped x inches lesser than the frog who jumped y inches farther than the grasshopper. How far did the mouse jump?",( ( w + y ) - x ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump?",39
45,Zachary did w push-ups and x crunches in gym class today. David did y more push-ups but z less crunches than zachary. How many more push-ups than crunches did Zachary do?,( w - x ),Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do?,32
46,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many emails did Jack receive in the afternoon and evening?",( x + y ),"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",13
47,Jerry had w action figures on a shelf in his room. Later he added some more action figures to the shelf and removed x of the old ones. If there are y action figures on his shelf now How many action figures did he add to the shelf?,( ( y + x ) - w ),Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf?,11
48,Julia played tag with w kids on monday. She played tag with x kids on tuesday. She spent a total of y hours to play tag on both days. How many kids did she play with altogether?,( w + x ),Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days. How many kids did she play with altogether?,26
49,Nell collects cards. She had w baseball cards and x Ace cards. She gave some of her cards to Jeff and now has y baseball cards and z Ace cards left. How many more baseball cards than Ace cards does Nell have?,( y - z ),Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have?,266
50,"At the zoo, a cage had w snakes and x alligators. If y alligators were hiding How many alligators were not hiding?",( x - y ),"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding?",57
51,You have read w books from the ' crazy silly school ' series. If there are a total of x different books in the ' crazy silly school ' series How many more do you still have to read?,( x - w ),You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series How many more do you still have to read?,6
52,Emily is making bead necklaces for her w friends. She had x beads and she was able to make y necklaces. How many beads did each necklace need?,( x / y ),Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces. How many beads did each necklace need?,4
53,Frank put w pieces of candy in each bag. If he had x pieces of candy How many bags would he have?,( x / w ),Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy How many bags would he have?,2
54,A waiter had w customers. After some left he still had x customers. Then he got y new customers How many customers does he have now?,( x + y ),A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers How many customers does he have now?,24
55,A farmer had w tomatoes in his garden. If he picked x of them yesterday and y today. How many tomatoes did he pick in all?,( x + y ),A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today. How many tomatoes did he pick in all?,204
56,"w red peaches, x yellow peaches and y green peaches are in the basket. How many green and yellow peaches are in the basket?",( y + x ),"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket. How many green and yellow peaches are in the basket?",20
57,Winter is almost here and most animals are migrating to warmer countries. There were w bird families living near the mountain. If x bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,( x - ( w - x) ),Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,31
58,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y orchids and z roses in the vase. How many more orchids than roses are there in the vase now?,( y - z ),There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now?,10
59,"After eating a hearty meal they went to see the Buckingham palace. There were w paintings in the Buckingham palace. There, Rachel learned that x visitors came to the Buckingham palace that day. If there were y visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( x - y ),"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",61
60,A waiter had w customers. While x customers left he got y new customers. How many customers does he still have?,( ( w - x ) + y ),A waiter had 12 customers. While 15 customers left he got 14 new customers. How many customers does he still have?,11
61,Emily is making bead necklaces for her w friends. She has x beads and each necklace takes y beads. How many necklaces can Emily make?,( x / y ),Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?,2
62,He also had w aquariums for saltwater animals. The aquarium had x saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,( x / w ),He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,2
63,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in?,( ( w - x ) - y ),Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in?,2
64,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many cakes would baker still have?,( w - y ),Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries How many cakes would baker still have?,139
65,Dave had w files and x apps on his phone. After deleting some apps and files he had y apps and z files left. How many files did he delete?,( w - z ),Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,3
66,An industrial machine made w shirts yesterday and x shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,( x / y ),An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,4
67,Rebecca wants to split a collection of eggs into w groups. Rebecca has x marbles and y eggs. How many eggs will each group have?,( y / w ),Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs. How many eggs will each group have?,5
68,Matthew had some crackers. If Matthew gave w crackers to each of his x friends How many crackers did Matthew have?,( x * w ),Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends How many crackers did Matthew have?,22
69,Olivia spent w dollars at a supermarket. If she has x dollars left with her How much money did she have initially?,( w + x ),Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her How much money did she have initially?,111
70,If Lewis earns $ w every week during the x weeks of a harvest season. How much money will he earn if he works for y harvest seasons?,( ( w * x ) * y ),If Lewis earns $ 1357 every week during the 223 weeks of a harvest season. How much money will he earn if he works for 73 harvest seasons?,22090603
71,Because of the decision Sofia asked w students to suggest specific types of food. x students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,( w - x ),Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,125
72,Jack received w emails and x letters in the morning. He then received y emails and z letters in the afternoon. How many emails did jack receive in the day?,( w + y ),Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon. How many emails did jack receive in the day?,8
73,Paco had w cookies. He ate x of them. Then he bought y more cookies How many cookies did Paco have left?,( ( w - x ) + y ),Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies How many cookies did Paco have left?,75
74,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes as well as bacon while x suggested adding only bacon to the menu How many students suggested adding bacon?,( w + x ),Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu How many students suggested adding bacon?,569
75,If each bag has w cookies and you had x bags of cookies How many cookies would you have?,( x * w ),If each bag has 41 cookies and you had 53 bags of cookies How many cookies would you have?,2173
76,Rachel had to complete w pages of reading homework and x pages of math homework. How many more pages of math homework than reading homework did she have?,( x - w ),Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have?,2
77,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought y more balloons at the park. How many balloons did Allan bring to the park?,( w + y ),Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?,8
78,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many more kids did she play with on tuesday than on wednesday?",( x - y ),"Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday. How many more kids did she play with on tuesday than on wednesday?",2
79,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much money did they make from selling the t-shirts?,( x * y ),The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?,4300
80,w children were riding on the bus. At the bus stop x children got off the bus while some more got on the bus. Then there were y children altogether on the bus. How many more children got off the bus than those that got on?,( w - y ),36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. How many more children got off the bus than those that got on?,24
81,Brenda's mother made w cookies for x guests. If each of them had the same number of cookies How many did each of them have?,( w / x ),Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies How many did each of them have?,7
82,Tiffany was collecting cans for recycling. On monday she had w bags of cans. The next day she found some more bags worth of cans. If she had a total of x bags altogether How many bags did she find on the next day?,( x - w ),Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether How many bags did she find on the next day?,2
83,In a school there are w girls and x boys. y more girls joined the school. How many more girls than boys does the school have?,( ( w + y ) - x ),In a school there are 632 girls and 410 boys. 465 more girls joined the school. How many more girls than boys does the school have?,687
84,Emily is making bead necklaces for her friends where each necklace takes w beads. She made x necklaces. How many beads did Emily have?,( x * w ),Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces. How many beads did Emily have?,20
85,Randy has w blocks. He uses x blocks to build a house and y blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house?,( y - x ),Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house?,30
86,w birds and x storks were sitting on the fence. y more birds came to join them. How many more storks than birds are sitting on the fence?,( x - ( w + y ) ),2 birds and 6 storks were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence?,1
87,The Razorback t-shirt shop made $ w dollars from selling x t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,( w / x ),The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,17
88,Paco had w cookies. He ate x cookies and gave y of them to his friend. How many more cookies did he give to his friend than those he ate?,( y - x ),Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend. How many more cookies did he give to his friend than those he ate?,5
89,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If there were x visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( w - x ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",22
90,Josh had w marbles in his collection. He found x marbles while he lost y marbles. How many more marbles did he find than those he lost?,( x - y ),Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles. How many more marbles did he find than those he lost?,1
91,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes while x suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon?,( w - x ),Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon?,366
92,Paco had w cookies. He ate x cookies and gave y of them to his friend. How many cookies did paco have left?,( ( w - x ) - y ),Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend. How many cookies did paco have left?,22
93,Paco had w cookies. He ate x cookies and gave y of them to his friend. How many more cookies did he eat than those he gave to his friend?,( x - y ),Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend?,1
94,Julia played tag with w kids on monday. She played tag with x kids on tuesday. She spent a total of y hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,( w - x ),Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,1
95,Dan has $ w. He bought a candy bar for $ x and a chocolate for $ y. How much money did he spend to buy chocolate than he did to buy candy bar?,( y - x ),Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3. How much money did he spend to buy chocolate than he did to buy candy bar?,1
96,Ed had w more marbles than Doug. Ed lost x of his marbles at the playground. How many more marbles did Ed have than Doug then?,( w - x ),Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground. How many more marbles did Ed have than Doug then?,12
97,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped y inches farther than the frog. How much farther did the mouse jump than the grasshopper?",( x + y ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 10 inches farther than the grasshopper and the mouse jumped 20 inches farther than the frog. How much farther did the mouse jump than the grasshopper?",30
98,Frank was reading through his favorite book. It took him w days to finish the book. If the book had x pages How many pages did he read per day?,( x / w ),Frank was reading through his favorite book. It took him 16 days to finish the book. If the book had 112 pages How many pages did he read per day?,7
99,There are w different books in the ' crazy silly school ' series. If you are yet to read x of the books How many books have you already read?,( w - x ),There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books How many books have you already read?,15
100,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought 2 more balloons at the park. How many balloons did Allan and Jake have in the park?,( ( w + x ) + y ),Allan brought 3 balloons and Jake brought 5 balloons to the park. Allan then bought 2 more balloons at the park. How many balloons did Allan and Jake have in the park?,10
101,Josh lost w marbles. If he had x marbles in his collection earlier How many marbles does he have now?,( x - w ),Josh lost 11 marbles. If he had 19 marbles in his collection earlier How many marbles does he have now?,8
102,Allan brought w balloons and Jake brought x balloons to the park. Jake then bought y more balloons at the park. How many more balloons did Jake have than Allan in the park?,( ( x + y ) - w ),Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park. How many more balloons did Jake have than Allan in the park?,1
103,Faye was placing her pencils into w rows with x pencils in each row. How many pencils does she have?,( w * x ),Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have?,154
104,A grocery store had w bottles of regular soda and x bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,( x - w ),A grocery store had 22 bottles of regular soda and 61 bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,39
105,There are w baskets of peaches. Each basket has x red peaches and y green peaches. How many red peaches are in the baskets altogether?,( x * w ),There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches. How many red peaches are in the baskets altogether?,96
106,During summer break w kids from Lawrence county go to camp and the rest stay home. Lawrence county has x kids in all. About how many kids stayed home?,( x - w ),During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all. About how many kids stayed home?,28462
107,There are w pots. Each pot has x flowers and y sticks in it. How many flowers are there in all?,( w * x ),There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all?,10011
108,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought y more balloons at the park. How many more balloons did Allan have than Jake in the park?,( ( w + y ) - x ),Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,1
109,"A chef had w apples. After making some pies, he had used x. How many apples remained?",( w - x ),"A chef had 58 apples. After making some pies, he had used 35. How many apples remained?",23
110,You had w bags with equal number of cookies. If you had x candies and y cookies in total How many cookies does each bag have?,( y / w ),You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total How many cookies does each bag have?,2
111,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and that each sack containes x oranges. How many sacks of oranges will they have after y days of harvest?,( w * y ),He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges. How many sacks of oranges will they have after 49 days of harvest?,1862
